id_author,name,gender,birth_date,birth_place,nationality,description,active_start,province,region,country,latitude,longitude
ART88199433,joey funboy,F,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
ART07469279,johnny marsiglia,M,unknown,Italy,unknown,unknown,unknown,unknown,unknown,Italy,unknown,unknown
ART88423027,la pina,F,1970-06-20,Firenze,Italy,"rapper, conduttrice radiofonica e televisiva italiana (1970-)",1970-06-20,Firenze,Toscana,Italy,43.7697955,11.2556404
ART39344115,lazza,M,1994-08-22,Scampia,Italy,"rapper, musicista e produttore discografico italiano (1994-)",2012-01-01,Napoli,Campania,Italy,40.8999881,14.2410519
ART05528539,luchè,M,1981-01-07,Napoli,Italy,rapper e produttore discografico italiano,1981-01-07,Napoli,Campania,Italy,40.8358846,14.2487679
ART20729624,madame,F,2002-01-16,Vicenza,Italy,cantautrice e rapper italiana (2002-),2018-01-01,Vicenza,Veneto,Italy,45.6348591,11.4063543
ART40433104,madman,M,1988-07-25,Grottaglie,Italy,rapper italiano (1988),2006-01-01,Taranto,Puglia,Italy,40.5361927,17.4342206
ART16868977,mahmood,M,1992-09-12,Milano,Italy,cantautore e paroliere italiano (1992-),2012-01-01,Milano,Lombardia,Italy,45.4641943,9.1896346
ART61734477,mambolosco,M,1991-08-16,Vicenza,Italy,rapper italiano (1991-),1990-08-16,Vicenza,Veneto,Italy,45.6348591,11.4063543
ART02733420,marracash,M,1979-05-22,Nicosia,Italy,rapper e produttore discografico italiano (1979-),1999-01-01,Enna,Sicilia,Italy,37.747452,14.397271
ART63613967,massimo pericolo,M,1993-11-30,Gallarate,Italy,criminale e rapper italiano,1992-11-30,Varese,Lombardia,Italy,45.6598951,8.7932013
ART37807199,mike24,M,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
ART43601431,miss keta,F,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
ART51628788,miss simpatia,F,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
